FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Adapt Council Inc Mount Pearl NL",538718
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agriculture & Food Council Nisku Alta",5027994
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agriculture Adaptation Council Guelph Ont",7336297
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Futures Nova Scotia Truro NS",814387
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Conseil pour le développement de l'agriculture du Québec Longueuil Que",3108260
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Fonds québécois d'adaptation des entreprises agroalimentaires Inc Montreal Que",1534167
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Investment Agriculture Foundation of British Columbia Victoria BC",1696394
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","New Brunswick Agricultural Council Inc Moncton NB",814381
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Prince Edward Island ADAPT Council Charlottetown PEI",696758
2004/2005,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Saskatchewan Council for Community Inc Saskatoon Sask",3229735
