FSCL_YR,MINE,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,AGRG_PYMT_AMT
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Aboriginal Farm Business Management Program Sterling Ont",253802
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agriculture Adaptation Council Guelph Ont",8463741
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agriculture and Food Council Nisku Alta",4857708
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Adapt Council Inc Mount Pearl NL",539816
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Agri-Futures Nova Scotia Truro NS",819869
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","BC Investment Agriculture Foundation Victoria BC",1781604
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Canadian Pork Council Ottawa Ont",900000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Canadian Agri-Food Research Ottawa Ont",479920
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Conseil pour le développement de l'agriculture du Québec Longueuil Que",3839868
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Fédération des producteurs d'agneaux et moutons du Québec Longueuil Que",207000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Fonds québécois d'adaptation des entreprises agro- alimentaires Montreal Que",1610559
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Manitoba Rural Adaptation Council Inc Winnipeg Man",2099037
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","New Brunswick Agricultural Council Inc Moncton NB",837126
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Nunavut Harvesters Association Rankin Inlet Nunavut",159334
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Prince Edward Island ADAPT Council Inc Charlottetown PEI",641891
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Saskatchewan Council for Community Development Saskatoon Sask",3621081
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Territorial Farmers Association Hay River NWT",153000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grants to organizations to facilitate adaptation and rural development within the agriculture and agri-food sector","Yukon Agricultural Association Whitehorse YT",243000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant to the University of Saskatchewan for the Western College of Veterinary Medicine","University of Saskatchewan Saskatoon Sask",22240000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant to the University of Guelph for the Ontario Veterinary College","University of Guelph Guelph Ont",37270000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant to the University of Prince Edward Island for the Atlantic Veterinary College","University of Prince Edward Island Charlottetown PEI",18030000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Grant to the Faculté de médecine vétérinaire de l'Université de Montréal","Université de Montréal Montreal Que",35460000
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Agricultural research in universities and other scientific organizations in Canada","Natural Sciences and Engineering Research Council of Canada Ottawa Ont",846932
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Payments in connection with the Agricultural Marketing Programs Act","Bank of Montreal Longueuil Que",110651
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Payments in connection with the Agricultural Marketing Programs Act","Bank of Montreal Winnipeg Man",12387403
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Payments in connection with the Agricultural Marketing Programs Act","Bank of Nova Scotia Chatham Ont",146756
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Payments in connection with the Agricultural Marketing Programs Act","Bank of Nova Scotia Florenceville NB",163876
2002/2003,"AGRICULTURE AND AGRI-FOOD","AGRICULTURE AND AGRI-FOOD","Payments in connection with the Agricultural Marketing Programs Act","Canadian Imperial Bank of Commerce Charlottetown PEI",121083
