FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Saskatchewan Crop Insurance Corporation, Melville, Saskatchewan",0,36983245
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","SB Vegetable Growers Ltd, Portage la Prairie, Manitoba",0,109920
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Silver Weanlings Inc, Arborg, Manitoba",0,266340
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Stoney Meadow Farm Ltd, Argyle Head, Nova Scotia",0,101534
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Maynard Mullen Fur Farm Ltd, Weymouth, Nova Scotia",0,481936
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Mazza Innovation Ltd, Penticton, British Columbia",0,143021
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Mobil Grain Ltd, Regina, Saskatchewan",0,241267
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Primrose Livestock Ltd, Lethbridge, Alberta",0,330575
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Prince Edward Island Agricultural Insurance Corporation, Charlottetown, Prince Edward Island",0,1608162
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Province of Quebec, Québec, Quebec",0,48310367
2013/2014,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","Agricultural Subsidies","Réseau Encans Québec, Saint-Isidore, Quebec",0,252999
