FSCL_YR,MINC,MINE,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,RCPNT_CLS_EN_DESC,RCPNT_NML_EN_DESC,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class contribution payments for the Transitional Industry Support program","Recovery (1 recipient)",0,-25000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class contribution payments for the Transitional Industry Support program","Transfer payments under $100,000 (1 recipient)",0,46
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class contribution payments for the Transitional Industry Support program",,-24954,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Farm Income program","Recoveries (3 recipients)",0,-20954
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Farm Income program",,-20954,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Transitional Industry Support program","Recoveries (9 recipients)",0,-5278
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Class grant payments for the Transitional Industry Support program",,-5278,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Agriculture Financial Services Corporation, Lacombe, Alberta",0,6000000
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Province of Nova Scotia, Halifax, Nova Scotia",0,929688
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery","Recoveries (2 recipients)",0,-6407
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the Agricultural Disaster Relief program/AgriRecovery",,6923281,0
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Agricorp, Toronto, Ontario",0,57039050
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Agriculture Financial Services Corporation, Lacombe, Alberta",0,188564599
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Nova Scotia Crop and Livestock Insurance Commission, Truro, Nova Scotia",0,1300428
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Prince Edward Island Agricultural Insurance Corporation, Charlottetown, Prince Edward Island",0,9050470
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of Alberta, Edmonton, Alberta",0,50308471
2016/2017,02,"Agriculture and Agri-Food",001,"Agriculture and Agri-Food","(S) Contribution payments for the AgriInsurance program","Province of British Columbia, Kelowna, British Columbia",0,18280700
